YearsExperience,Salary
5.59,53038.54
2.7,24391.56
6.38,63784.77
3.04,32148.29
4.3,47657.48
6.35,62635.38
4.32,45704.59
3.65,31076.82
1.75,21798.7
0.92,12995.33
4.73,46954.28
4.63,38802.51
6.39,66436.45
3.97,37607.01
5.32,54611.43
3.17,30328.0
6.13,65099.38
5.62,53332.05
4.16,34875.61
5.36,51965.51
4.88,49040.43
4.09,27824.49
3.83,32279.65
4.25,43702.01
2.63,22419.04
7.79,79442.0
2.29,26959.23
6.7,68451.95
4.26,39598.45
7.85,80947.2
3.26,27091.46
3.45,30785.1
4.58,41079.52
9.83,98726.36
6.03,61422.44
5.55,48477.43
5.65,57373.12
6.07,64925.24
8.56,87908.03
5.99,63128.69
5.81,64446.02
3.96,41833.31
1.41,8396.15
2.83,28478.15
3.04,29262.27
2.3,19215.82
3.25,24896.57
3.0,37370.99
4.17,41580.63
9.19,90127.8
0.7,6125.31
7.15,85098.46
-0.25,1136.69
3.94,40419.18
0.39,8943.4
6.7,66784.87
4.3,43281.95
8.28,99663.32
6.03,60619.23
10.25,110297.38
-0.57,1123.77
6.28,56751.7
6.09,61350.39
10.04,105781.93
2.79,31869.03
3.76,33882.2
2.9,31127.43
5.14,47184.21
9.13,94363.04
6.9,68727.96
7.13,70254.66
0.33,-1160.49
4.37,41865.32
5.44,55476.85
9.14,94598.8
4.94,36959.54
1.68,12913.13
6.77,69084.43
5.48,65568.69
4.55,44331.66
4.47,43990.36
7.15,71662.13
2.51,23169.8
4.49,48495.37
8.21,77353.03
-0.39,-4544.23
8.64,94073.91
5.26,49730.78
7.54,78392.91
7.82,75655.93
7.18,67441.41
8.35,83702.15
4.86,39386.14
5.34,48736.96
7.92,78498.14
4.93,43397.52
2.18,28530.73
5.99,52502.18
5.4,50871.58
7.17,74597.79
2.62,21970.94
6.73,61971.52
8.49,81280.67
4.78,36776.56
3.37,28983.92
3.42,36815.03
6.17,66568.44
6.41,66857.03
6.37,58657.43
4.89,65602.33
5.61,54270.34
2.36,30497.46
5.69,57181.36
3.11,37470.47
4.97,42058.39
1.74,27827.07
4.46,51040.38
4.93,49508.39
4.98,54104.62
4.48,46808.3
11.13,111346.84
5.83,62258.07
0.7,10000.55
2.79,27785.49
5.18,54418.46
8.01,74604.5
2.76,33046.67
3.44,33417.65
2.86,35377.57
1.27,19553.63
5.76,53732.56
2.85,32374.67
6.51,61592.01
6.02,53700.6
6.09,69862.9
4.47,37364.89
2.79,30541.69
4.98,50658.61
7.32,78699.75
7.26,71446.7
6.81,72132.46
7.11,70265.53
2.98,29369.04
4.38,38618.54
5.23,49040.66
5.51,48076.66
5.57,51135.68
5.77,57633.84
7.23,66461.78
6.63,63363.85
7.94,80782.69
-0.16,-5951.82
3.4,33832.89
3.24,28968.29
4.86,50215.68
2.54,20512.75
4.09,46172.56
3.78,34128.86
4.0,32845.32
8.89,90438.28
5.08,47396.92
4.12,43300.47
6.0,59716.49
7.15,71412.9
3.6,35934.55
8.32,76356.71
2.01,24884.55
-0.11,-6264.99
2.97,28230.82
3.22,39287.47
6.2,64107.17
5.36,52306.6
8.22,81530.23
6.09,60018.11
4.32,41323.48
5.3,57270.43
2.26,23724.29
5.08,50472.94
4.46,47209.83
5.4,56843.85
2.43,25776.89
5.67,51344.65
6.09,60469.49
3.78,46122.85
6.98,66983.86
4.95,52008.81
6.98,76069.99
7.99,72854.1
6.63,76716.83
4.43,42274.63
3.65,40818.03
3.06,36596.92
4.27,41503.61
1.69,25503.34
5.6,56078.19
6.77,62794.72
7.02,73357.69
6.5,69426.95
3.99,33222.06
